Hechos_Id,Año,Mes,Dia,Día Semana,Franja Horaria,Estación_Id
2018-0046,2018,Mayo,2,Miércoles,3,2
2018-0047,2018,Mayo,8,Martes,19,2
2018-0048,2018,Mayo,9,Miércoles,10,2
2018-0049,2018,Mayo,11,Viernes,19,2
2018-0050,2018,Mayo,14,Lunes,18,2
2018-0051,2018,Mayo,15,Martes,21,2
2018-0052,2018,Mayo,18,Viernes,20,2
2018-0053,2018,Mayo,20,Domingo,2,2
2018-0054,2018,Mayo,22,Martes,11,2
2018-0055,2018,Mayo,29,Martes,7,2
2018-0056,2018,Junio,2,Sábado,13,3
2018-0057,2018,Junio,3,Domingo,3,3
2018-0058,2018,Junio,3,Domingo,6,3
2018-0059,2018,Junio,8,Viernes,6,3
2018-0060,2018,Junio,8,Viernes,12,3
2018-0061,2018,Junio,10,Domingo,11,3
2018-0062,2018,Junio,14,Jueves,1,3
2018-0063,2018,Junio,16,Sábado,21,3
2018-0064,2018,Junio,25,Lunes,1,3
2018-0065,2018,Junio,26,Martes,17,3
2018-0066,2018,Junio,28,Jueves,11,3
2018-0067,2018,Junio,29,Viernes,16,3
2018-0068,2018,Julio,1,Domingo,9,3
2018-0069,2018,Julio,4,Miércoles,21,3
2018-0070,2018,Julio,7,Sábado,15,3
2018-0071,2018,Julio,10,Martes,17,3
2018-0072,2018,Julio,11,Miércoles,13,3
2018-0073,2018,Julio,11,Miércoles,15,3
2018-0074,2018,Julio,14,Sábado,6,3
2018-0075,2018,Julio,15,Domingo,7,3
2018-0076,2018,Julio,16,Lunes,9,3
2018-0077,2018,Julio,16,Lunes,23,3
2018-0078,2018,Julio,21,Sábado,6,3
2018-0079,2018,Julio,23,Lunes,7,3
2018-0080,2018,Julio,25,Miércoles,22,3
2018-0081,2018,Julio,29,Domingo,6,3
2018-0082,2018,Agosto,1,Miércoles,15,3
2018-0083,2018,Agosto,2,Jueves,5,3
2018-0084,2018,Agosto,3,Viernes,7,3
2018-0085,2018,Agosto,3,Viernes,18,3
2018-0085,2018,Agosto,3,Viernes,18,3
2018-0086,2018,Agosto,10,Viernes,21,3
2018-0087,2018,Agosto,15,Miércoles,19,3
2018-0088,2018,Agosto,17,Viernes,16,3
2018-0089,2018,Agosto,17,Viernes,17,3
2018-0090,2018,Agosto,18,Sábado,10,3
2018-0091,2018,Agosto,19,Domingo,18,3
2018-0092,2018,Agosto,20,Lunes,8,3
2018-0093,2018,Agosto,20,Lunes,8,3
2018-0094,2018,Agosto,23,Jueves,5,3
2018-0095,2018,Agosto,26,Domingo,0,3
2018-0096,2018,Agosto,31,Viernes,22,3
2018-0097,2018,Septiembre,2,Domingo,10,4
2018-0098,2018,Septiembre,9,Domingo,5,4
2018-0098,2018,Septiembre,9,Domingo,5,4
2018-0099,2018,Septiembre,12,Miércoles,14,4
