Hechos_Id,Número De Victimas,Fecha,Año,Mes,Dia,Día Semana,Estación,Hora,Franja Horaria,Lugar Del Hecho,Tipo De Calle,Calle,Cruce,Comuna,Barrio,Pos X,Pos Y,Participantes,Víctima,Acusado,Rol,Sexo,Edad,Rango Etario
2016-0058,1,2016-05-04,2016,Mayo,4,Miércoles,Otoño,14:00:00,14,LIMA 1471,CALLE,LIMA,False,Comuna 1,Constitucion,-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,57,41-60
2016-0059,1,2016-05-08,2016,Mayo,8,Domingo,Otoño,16:30:00,16,PASAJE CIUDADELA Y LIMA OESTE,CALLE,CIUDADELA,True,Comuna 1,Constitucion,-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,37,26-40
2016-0064,1,2016-05-14,2016,Mayo,14,Sábado,Otoño,18:11:00,18,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,"JUSTO, JUAN B. AV.",True,Comuna 10,Velez Sarsfield,-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,20,19-25
2016-0065,1,2016-05-20,2016,Mayo,20,Viernes,Otoño,14:40:00,14,AV GAONA Y ESPINOSA,AVENIDA,GAONA AV.,True,Comuna 6,Caballito,-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,20,19-25
2016-0067,1,2016-05-21,2016,Mayo,21,Sábado,Otoño,17:00:00,17,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,"DE LA TORRE, LISANDRO",True,Comuna 8,Villa Lugano,-58.48455411,-34.6751276,MOTO-PASAJEROS,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,FEMENINO,30,26-40
2016-0068,1,2016-05-22,2016,Mayo,22,Domingo,Otoño,22:00:00,22,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",True,Comuna 2,Recoleta,-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,58,41-60
2016-0069,1,2016-05-23,2016,Mayo,23,Lunes,Otoño,03:30:00,3,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,ENTRE RIOS AV.,True,Comuna 1,Constitucion,-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS,CONDUCTOR,MASCULINO,30,26-40
2016-0073,1,2016-06-11,2016,Junio,11,Sábado,Invierno,15:00:00,15,MAGARIÑOS CERVANTES 3900,CALLE,"MAGARI?OS CERVANTES, A.",False,Comuna 10,Floresta,-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,23,19-25
2016-0074,1,2016-06-12,2016,Junio,12,Domingo,Invierno,06:40:00,6,AV GRAL PAZ Y RODOLFO SCAPINO,GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 0,Límite o Afueras,-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,60,61+
2016-0075,1,2016-06-12,2016,Junio,12,Domingo,Invierno,23:13:00,23,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,True,Comuna 8,Villa Lugano,-58.47461076,-34.66874679,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,42,41-60
