Hechos_Id,Número De Victimas,Fecha,Hora,Lugar Del Hecho,Cruce_Id,Tipo_Calle_Id,Comuna_Id,Participantes_Id,Víctima_Id,Acusado_Id,Rol_Id,Sexo_Id,Rango_Etario_Id,Edad
2016-0099,1,2016-07-29,16:00:00,AV GRAL MOSCONI Y AV GRAL PAZ,1,2,0,19,5,5,1,1,4,45
2016-0100,1,2016-08-03,23:27:00,AV GRAL PAZ  Y DONADO,1,2,12,5,1,4,1,1,4,57
2016-0101,1,2016-08-07,19:42:00,AV GRAL PAZ Y JORGE CHAVEZ,1,2,9,0,0,0,1,1,5,67
2016-0102,1,2016-08-10,23:37:00,AV EVA PERON Y JOSE LEON SUAREZ,1,1,9,6,1,5,1,1,3,29
2016-0104,1,2016-08-14,21:15:00,ZINNY Y AV SANTIAGO DE COMPOSTELA,1,1,9,4,1,2,1,1,2,21
2016-0105,1,2016-08-17,00:05:00,AV FEDERICO LACROZE Y FRAGA,1,1,15,9,3,2,3,1,2,19
2016-0106,1,2016-08-19,21:02:00,CARLOS PELLEGRINI Y AV DEL LIBERTADOR,1,1,1,9,3,2,3,1,3,38
2016-0107,1,2016-08-20,08:22:00,AUTOPISTA 9 DE JULIO SUR ALT AV MENDOZA,2,4,4,1,1,1,1,1,2,21
2016-0109,1,2016-08-24,05:45:00,AUTOPISTA PERITO MORENO Y BARRAGAN,1,4,9,11,2,4,1,2,4,53
2016-0110,1,2016-08-24,20:21:00,AV ALBERDI Y CARHUE,1,1,9,20,3,0,3,1,4,57
2016-0111,1,2016-08-25,09:30:00,AUTOPISTA LEOPOLDO LUGONES Y LA PAMPA,1,4,12,6,1,5,1,1,3,27
2016-0112,1,2016-08-27,04:40:00,AUTOPISTA 25 DE MAYO AUTOPISTA 1 SUR ARTURO FRONDIZI,1,4,1,5,1,4,1,1,2,24
2016-0113,1,2016-08-27,16:45:00,AV JUAN BAUTISTA ALBERDI Y GUARDIA NACIONAL,1,1,9,9,3,2,3,2,5,60
2016-0114,1,2016-08-31,11:20:00,SALGUERO 1410,2,3,14,21,6,5,4,2,4,55
2016-0115,1,2016-09-02,11:50:00,ARIAS Y TRONADOR,1,3,12,22,0,5,1,1,1,4
2016-0116,1,2016-09-02,20:20:00,AV 27 DE FEBRERO Y AV ESCALADA,1,1,8,1,1,1,1,1,3,30
2016-0117,1,2016-09-03,15:30:00,AV DEL LIBERTADOR Y TAGLE,1,1,2,10,2,1,1,1,4,43
2016-0118,1,2016-09-04,03:30:00,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI KM 2.9,2,4,1,10,2,1,1,1,3,27
2016-0119,1,2016-09-04,06:40:00,CRISOLOGO LARRALDE Y AVDA TRIUNVIRATO,1,1,12,0,0,0,2,2,2,23
2016-0122,1,2016-09-13,07:10:00,AV EVA PERON 4233,2,1,9,23,6,2,4,1,4,49
2016-0123,1,2016-09-14,09:00:00,AV ASAMBLEA Y AV CNEL ESTEBAN BONORINO,1,1,7,1,1,1,1,2,4,58
2016-0124,1,2016-09-16,15:24:00,AVDA RIVADAVIA Y RIVERA INDARTE,1,1,7,9,3,2,3,1,5,67
2016-0125,1,2016-09-17,12:14:00,AUTOPISTA PERITO MORENO Y AV JUAN B ALBERDI,1,4,10,13,1,6,1,1,3,30
2016-0126,2,2016-09-18,22:45:00,IRIGOYEN Y TINOGASTA,1,3,10,16,2,5,1,1,3,37
2016-0126,2,2016-09-18,22:45:00,IRIGOYEN Y TINOGASTA,1,3,10,16,2,5,2,1,5,60
2016-0127,1,2016-09-24,10:25:00,AV MARIANO ACOSTA Y AV CNEL ROCA,1,1,8,9,3,2,3,1,4,50
2016-0128,1,2016-10-02,11:30:00,CASTRO Y AV PAVON,1,1,5,9,3,2,3,2,5,81
2016-0130,1,2016-10-04,12:30:00,AUTOPISTA 9 DE JULIO SUR Y AV BRASIL,2,4,1,6,1,5,1,1,3,29
2016-0131,1,2016-10-09,19:13:00,MIRAVE 3500,2,3,4,7,3,1,3,1,3,35
2016-0132,1,2016-10-10,02:30:00,AV SAN JUAN Y 24 DE NOVIEMBRE,1,1,3,2,2,2,2,1,3,30
2016-0133,1,2016-10-14,00:05:00,AV LAS HERAS Y SANCHEZ DE BUSTAMANTE,1,1,14,1,1,1,1,1,4,41
2016-0134,1,2016-10-23,05:00:00,AV PIEDRA BUENA Y 2 DE ABRIL 1982,1,1,8,5,1,4,1,1,3,25
2016-0135,1,2016-10-24,05:00:00,AV FIGUEROA ALCORTA  Y PINEDO,1,1,14,20,3,0,3,1,3,29
2016-0136,1,2016-10-25,00:00:00,AU BUENOS AIRES - LA PLATA KM. 4,2,4,4,6,1,5,1,1,4,54
2016-0137,1,2016-10-25,00:39:00,AV SAN MARTIN Y LADINES,1,1,11,13,1,6,1,1,3,30
