Hechos_Id,Rol,Sexo,Edad,Rango Etario
2017-0009,CONDUCTOR,MASCULINO,36,26-40
2017-0010,CONDUCTOR,MASCULINO,23,19-25
2017-0011,PASAJERO_ACOMPAÑANTE,FEMENINO,29,26-40
2017-0012,CONDUCTOR,MASCULINO,30,26-40
2017-0013,PEATON,MASCULINO,4,0-18
2017-0014,PASAJERO_ACOMPAÑANTE,FEMENINO,22,19-25
2017-0015,PEATON,MASCULINO,82,61+
2017-0016,CONDUCTOR,MASCULINO,27,26-40
2017-0017,CONDUCTOR,MASCULINO,32,26-40
2017-0018,CONDUCTOR,MASCULINO,30,26-40
2017-0021,CONDUCTOR,MASCULINO,43,41-60
2017-0024,PEATON,MASCULINO,39,26-40
2017-0025,CONDUCTOR,MASCULINO,23,19-25
2017-0026,PASAJERO_ACOMPAÑANTE,FEMENINO,23,19-25
2017-0026,CONDUCTOR,MASCULINO,19,19-25
2017-0027,PEATON,MASCULINO,61,61+
2017-0028,PEATON,MASCULINO,87,61+
2017-0029,CONDUCTOR,MASCULINO,34,26-40
2017-0030,CONDUCTOR,FEMENINO,27,26-40
2017-0031,PASAJERO_ACOMPAÑANTE,MASCULINO,70,61+
2017-0032,PASAJERO_ACOMPAÑANTE,FEMENINO,40,41-60
2017-0033,CONDUCTOR,MASCULINO,28,26-40
2017-0034,PEATON,MASCULINO,43,41-60
2017-0035,CONDUCTOR,MASCULINO,28,26-40
2017-0035,PASAJERO_ACOMPAÑANTE,MASCULINO,32,26-40
2017-0035,PASAJERO_ACOMPAÑANTE,MASCULINO,30,26-40
2017-0036,PASAJERO_ACOMPAÑANTE,FEMENINO,22,19-25
2017-0036,CONDUCTOR,MASCULINO,20,19-25
2017-0037,CONDUCTOR,MASCULINO,41,41-60
2017-0038,CONDUCTOR,FEMENINO,40,41-60
2017-0040,CONDUCTOR,MASCULINO,43,41-60
2017-0041,CONDUCTOR,MASCULINO,17,0-18
2017-0042,CONDUCTOR,MASCULINO,34,26-40
2017-0045,CONDUCTOR,MASCULINO,21,19-25
2017-0047,CONDUCTOR,MASCULINO,37,26-40
2017-0049,PEATON,MASCULINO,22,19-25
2017-0050,CONDUCTOR,MASCULINO,46,41-60
2017-0050,PASAJERO_ACOMPAÑANTE,MASCULINO,16,0-18
2017-0051,CONDUCTOR,MASCULINO,33,26-40
2017-0052,PEATON,FEMENINO,47,41-60
2017-0053,CONDUCTOR,MASCULINO,28,26-40
2017-0054,PASAJERO_ACOMPAÑANTE,FEMENINO,20,19-25
2017-0055,CONDUCTOR,MASCULINO,32,26-40
2017-0058,PEATON,MASCULINO,80,61+
2017-0059,PEATON,FEMENINO,39,26-40
2017-0060,PASAJERO_ACOMPAÑANTE,MASCULINO,30,26-40
2017-0061,PEATON,MASCULINO,47,41-60
2017-0062,CONDUCTOR,MASCULINO,35,26-40
2017-0063,PEATON,FEMENINO,79,61+
2017-0064,PASAJERO_ACOMPAÑANTE,MASCULINO,61,61+
2017-0065,CICLISTA,MASCULINO,21,19-25
2017-0066,PEATON,MASCULINO,10,0-18
2017-0067,CONDUCTOR,MASCULINO,21,19-25
2017-0068,CONDUCTOR,MASCULINO,32,26-40
2017-0069,CONDUCTOR,MASCULINO,39,26-40
2017-0070,PEATON,MASCULINO,80,61+
2017-0072,CONDUCTOR,MASCULINO,25,26-40
2017-0073,CONDUCTOR,MASCULINO,19,19-25
2017-0074,CONDUCTOR,MASCULINO,70,61+
2017-0075,PEATON,MASCULINO,55,41-60
2017-0076,PEATON,FEMENINO,30,26-40
2017-0077,CONDUCTOR,FEMENINO,60,61+
2017-0079,CONDUCTOR,MASCULINO,33,26-40
2017-0080,PEATON,FEMENINO,95,61+
2017-0082,PEATON,MASCULINO,36,26-40
2017-0083,CONDUCTOR,MASCULINO,37,26-40
2017-0084,PEATON,FEMENINO,73,61+
2017-0085,PEATON,MASCULINO,84,61+
2017-0086,PEATON,FEMENINO,30,26-40
2017-0087,PEATON,FEMENINO,73,61+
2017-0088,PEATON,MASCULINO,43,41-60
2017-0089,CONDUCTOR,MASCULINO,23,19-25
2017-0090,PEATON,MASCULINO,22,19-25
2017-0091,CONDUCTOR,MASCULINO,58,41-60
2017-0092,PEATON,MASCULINO,66,61+
2017-0093,PEATON,MASCULINO,77,61+
2017-0094,CICLISTA,FEMENINO,56,41-60
2017-0095,CONDUCTOR,MASCULINO,36,26-40
2017-0096,PEATON,MASCULINO,87,61+
2017-0098,PEATON,FEMENINO,61,61+
2017-0099,CICLISTA,MASCULINO,28,26-40
2017-0100,PASAJERO_ACOMPAÑANTE,FEMENINO,16,0-18
2017-0101,PEATON,FEMENINO,61,61+
2017-0102,PEATON,MASCULINO,46,41-60
2017-0104,PEATON,FEMENINO,18,19-25
2017-0106,PEATON,FEMENINO,85,61+
2017-0107,CONDUCTOR,MASCULINO,41,41-60
2017-0108,PASAJERO_ACOMPAÑANTE,MASCULINO,17,0-18
2017-0108,PASAJERO_ACOMPAÑANTE,MASCULINO,10,0-18
2017-0109,CONDUCTOR,MASCULINO,21,19-25
2017-0110,PEATON,MASCULINO,56,41-60
2017-0111,PEATON,FEMENINO,79,61+
2017-0112,PASAJERO_ACOMPAÑANTE,MASCULINO,1,0-18
2017-0112,PASAJERO_ACOMPAÑANTE,MASCULINO,59,41-60
2017-0113,PEATON,FEMENINO,76,61+
2017-0114,CONDUCTOR,MASCULINO,26,26-40
2017-0115,CONDUCTOR,MASCULINO,34,26-40
2017-0116,CONDUCTOR,MASCULINO,22,19-25
